seg_word,count
想,9770
說,9468
覺得,7746
真的,7003
做,6260
吃,5414
一直,4426
工作,4038
知道,3985
不知道,3743
今天,3646
事,3610
喜歡,3272
感覺,3267
已經,3237
醫生,3079
希望,2976
朋友,2854
不想,2719
問題,2659
事情,2632
生活,2504
睡,2496
憂鬱症,2431
找,2419
應該,2402
每天,2318
東西,2314
看到,2230
世界,2158
好像,2151
痛苦,2136
比較,2134
情緒,2074
抑鬱症,1970
無法,1941
需要,1929
努力,1911
以前,1869
死,1858
人生,1833
一天,1813
走,1812
發現,1779
最後,1763
這種,1758
買,1736
哭,1697
一定,1689
一起,1614
最近,1612
之前,1598
想要,1589
辦法,1560
不好,1536
吃藥,1500
完,1495
心情,1482
有點,1461
好好,1439
聽,1387
以後,1376
只能,1330
心理,1327
憂鬱,1325
愛,1309
身體,1289
快樂,1285
這是,1275
害怕,1257
不到,1253
完全,1244
話,1238
開心,1224
寫,1194
繼續,1193
累,1169
轉發,1166
晚上,1156
我會,1144
總是,1135
家人,1128
告訴,1124
老師,1119
是不是,1114
媽媽,1089
想到,1085
謝謝,1073
面對,1069
新,1066
根本,1059
想法,1055
着,1042
壓力,1037
狀況,1034
諮商,1031
回家,1008
生病,1007
患者,1007
離開,1003
討厭,999
小時,996
地方,992
昨天,986
記得,979
正常,970
不用,963
幫,962
兩個,959
陰天,955
先,953
改變,948
難過,947
相信,939
那種,937
錢,937
分享,934
發生,930
過去,922
跑,920
睡覺,913
早上,896
明天,894
每次,894
請,892
能夠,886
懂,885
焦慮,880
笑,868
特別,866
自殺,863
選擇,863
遇到,862
運動,859
慢慢,858
幾天,852
重要,851
變成,849
本來,839
情況,839
每個,839
方式,838
終於,837
容易,837
得到,834
失眠,831
感受,830
關係,823
接受,823
幫助,813
嚴重,809
當時,807
喝,804
狀態,800
認為,799
醫院,795
願意,794
原因,793
影響,791
感到,790
出現,786
公司,786
傷害,771
上班,768
至少,766
生命,765
找到,762
父母,756
永遠,753
一年,752
日,747
決定,746
藥物,744
下去,742
天,737
活著,733
越來越,732
不敢,729
變得,728
我要,726
明明,715
玩,713
學校,712
有時候,712
簡單,709
也許,709
控制,702
直接,696
精神,695
裏,695
晴天,695
心裡,690
方法,686
身邊,685
曾經,685
看看,684
思考,681
原本,681
手機,680
未來,680
閒聊,677
擔心,674
目前,674
能力,671
不錯,664
習慣,661
第一次,659
治療,657
理解,657
家,655
真,653
存在,651
心,651
原來,649
放棄,645
舒服,644
這件,644
有沒有,641
日子,639
回來,638
病,637
給我,630
反正,629
加油,627
一件,624
爸爸,622
出門,620
同學,616
孩子,613
學習,613
不斷,612
開,612
真正,612
發作,611
認識,602
我媽,599
躺,593
起床,591
休息,589
樣子,583
剛剛,581
住,579
書,579
一邊,578
醫師,573
錯,572
關心,568
結束,567
失去,565
經驗,564
下午,561
經歷,561
崩潰,561
回診,560
沒什麼,559
回到,557
準備,557
醒來,554
陪,551
花,550
過程,549
罵,547
可愛,547
吃飯,542
站,537
故事,536
一句,534
只會,531
下來,530
點,526
幸福,526
機會,524
期待,523
平安,523
掉,522
在家,522
意義,520
久,518
超話,518
症狀,517
回去,517
難受,516
還在,516
幾個,516
安眠藥,515
不行,515
實在,514
內心,506
感謝,503
好多,503
建議,501
真是,501
上課,500
負面,499
似乎,493
聽到,492
像是,491
越,491
社會,489
忘記,487
聲音,486
痛,486
夢,484
高,482
失敗,482
電影,482
想說,478
想起,478
解決,477
持續,475
調整,475
大學,474
不夠,472
師,470
消失,469
睡眠,466
一堆,464
造成,461
還好,461
身上,460
有錢,460
自我,459
逃避,459
說話,459
只好,458
一個月,457
健康,456
抑鬱,456
生氣,454
最好,454
禮拜,451
逼,447
難,445
清楚,445
明白,445
講話,444
同事,444
成本,443
適合,442
是否,437
少,436
興趣,433
了解,433
辛苦,432
聊天,432
認真,427
感情,426
家庭,425
算是,425
堅持,424
美好,424
對不起,423
房間,423
藥,422
很大,421
分手,421
現實,419
成功,419
忘,417
要求,416
大腦,415
小孩,415
考試,410
想想,408
穩定,407
可怕,407
討論,406
床上,405
我還,405
成為,404
麻煩,403
家裡,401
我爸,397
差,397
處理,394
目標,394
身心,394
感,392
穿,392
環境,389
遊戲,387
腦袋,385
有個,384
講,382
三個,381
️,380
行為,378
問,377
照顧,373
眼睛,373
祈禱,372
女生,371
晚安,370
依然,370
讀,369
衣服,368
煩惱,368
職級,367
沒用,366
電話,366
記憶,366
讀書,366
一輩子,364
值得,363
內容,363
影片,363
兩天,362
咖啡,361
孤獨,361
母親,359
陪伴,359
副作用,358
長,358
看著,358
成,357
夢想,356
早餐,355
沒事,355
那天,354
看過,353
變,353
絕望,353
字,353
挺,353
算,352
超,351
還會,351
約,350
忙,349
送,349
還能,348
順利,347
福,347
坐在,347
手,347
裡面,346
回應,345
厲害,344
今年,344
導致,343
愛情,343
倒,342
死亡,340
精神科,340
困難,338
外面,338
很難,338
半年,338
不知,338
路,337
念頭,336
意識,336
聊,336
看書,336
恐懼,335
擁有,335
住院,335
老公,334
唯一,333
悲傷,332
打算,331
意思,331
拍,331
回答,331
音樂,330
奇怪,329
疾病,329
一半,329
男友,328
眼中,328
我家,327
看見,327
生日快樂,325
反應,325
生,324
好看,324
兩年,324
相處,324
吿,323
之間,322
理由,322
結婚,321
嘗試,321
還沒,321
面試,320
電腦,319
滿足,319
效果,319
答案,318
爸媽,317
確定,317
期望,316
肯定,316
代表,313
沒關係,312
行動,312
眼淚,311
吐,310
長大,310
過了,308
幾次,306
畢業,306
當我,306
學,306
昨晚,304
進,304
板,304
態度,303
恨,303
糟糕,303
重新,303
問我,303
輕鬆,303
後悔,302
更好,301
夢久,301
接觸,300
尤其,300
分鐘,300
過來,300
自然,300
練習,299
陳,299
課,298
確實,298
再也,298
動力,298
減肥,297
產生,296
平常,295
所謂,295
高中,295
表現,294
真實,294
考慮,294
活下去,294
回憶,293
小心,292
完成,291
推薦,290
放,290
白天,290
爸,289
抱,289
噁心,289
停藥,289
一步,289
做到,288
發病,288
老闆,287
沒想到,287
學會,286
方面,285
緊張,285
我能,284
解釋,283
同樣,283
一隻,283
醒,282
睡不著,282
中午,282
下班,282
太陽,281
自由,281
不停,281
打電話,281
當初,281
安慰,279
困擾,279
病情,278
神,277
過得,276
我心,276
過的,276
重點,275
懷疑,274
男人,274
漸漸,274
勇氣,273
自殘,273
旁邊,272
食物,270
去年,270
祝,270
父親,269
成長,269
鼓勵,268
上次,267
的藥,267
剩下,266
在意,266
正在,265
注意,265
祝福,265
上面,264
資料,263
專業,263
孤單,263
早,263
這段,262
加,262
時光,261
面前,260
回覆,260
一位,260
整理,260
期間,259
多久,259
一點點,259
文,257
年紀,257
搞,256
拒絕,256
主管,256
正常人,255
能量,255
一場,255
好吃,255
檢查,254
提醒,254
不在,254
幻聽,253
放鬆,252
任何人,252
男生,252
頭痛,252
確診,252
高興,251
浪費,251
失望,251
一生,251
長期,251
房子,251
想著,250
路上,250
女人,250
病人,249
左右,248
名字,248
溫暖,248
照片,248
重度,248
半夜,248
坐,247
心態,247
紅包,247
條件,247
願望,246
公主,246
水,246
事物,245
姐姐,245
廁所,245
天氣,245
好轉,245
領導,244
考,244
平靜,243
不吃,243
芳芳,243
分,243
活動,242
無力,242
壞,242
請問,242
類似,241
暫時,241
很快,241
參加,241
生日,241
臉,241
羨慕,240
程度,240
放在,239
黑暗,239
超過,239
亂,239
小時候,239
折磨,238
日本,238
後面,238
很棒,238
人類,238
力氣,238
撐,237
瘦,237
星期,237
主動,237
通常,236
溝通,236
樓上,236
my,236
學生,236
跑步,235
呼吸,235
相關,235
勇敢,235
整天,234
廢,234
個性,234
復發,234
女友,233
少年,233
陷入,233
證明,233
這句,233
一段時間,233
早安,233
明顯,232
診斷,232
力量,232
洗,232
使用,232
事實,231
喝酒,230
服藥,230
保持,229
心中,229
進步,229
早就,229
價值,228
談,228
感冒,228
承認,228
隨便,228
中間,228
發文,227
抱歉,227
一條,227
超級,227
部分,227
幾年,227
停,226
次,226
拉,226
情感,226
室友,225
發現自己,224
一路,223
幫忙,223
恐慌,223
人間,223
表達,223
處,222
訊息,222
意外,222
員工,222
低,221
再來,221
改善,221
低落,221
睡著,221
王,221
抱怨,221
總覺,221
幸運,220
承受,220
成績,220
女孩,220
空間,219
障礙,219
要說,219
其他人,219
錯誤,219
日常,218
帶來,217
保護,217
堅強,217
當你,216
維持,216
下次,216
文字,216
主要,216
不該,215
恭喜,215
第一,215
變化,215
靈魂,214
一段,214
很累,214
版,214
五花,213
有效,213
試著,213
恢復,213
腦子,212
